Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805-Chuk-FA-FB",36.181210,-81.631005,-90.000000,top
"D1","1N4148","SMD_SOD_123-stencil",-73.520614,-111.571740,-90.000000,top
"D2","1N4148","SMD_SOD_123-stencil",-55.520614,-110.845740,-90.000000,top
"D3","1N4148","SMD_SOD_123-stencil",-37.340001,-93.799605,-90.000000,top
"D4","1N4148","SMD_SOD_123-stencil",-19.657614,-93.089605,-90.000000,top
"D5","1N4148","SMD_SOD_123-stencil",-1.522014,-99.557540,-90.000000,top
"D6","1N4148","SMD_SOD_123-stencil",16.486586,-100.740000,-90.000000,top
"D7","1N4148","SMD_SOD_123-stencil",-73.505614,-128.589740,-90.000000,top
"D8","1N4148","SMD_SOD_123-stencil",-55.547814,-127.464605,-90.000000,top
"D9","1N4148","SMD_SOD_123-stencil",-37.440001,-110.779605,-90.000000,top
"D10","1N4148","SMD_SOD_123-stencil",-19.620614,-110.395740,-90.000000,top
"D11","1N4148","SMD_SOD_123-stencil",-1.560001,-116.409605,-90.000000,top
"D12","1N4148","SMD_SOD_123-stencil",16.254999,-118.989605,-90.000000,top
"D13","1N4148","SMD_SOD_123-stencil",-73.531014,-145.480740,-90.000000,top
"D14","1N4148","SMD_SOD_123-stencil",-55.620614,-144.395740,-90.000000,top
"D15","1N4148","SMD_SOD_123-stencil",-37.564614,-127.573740,-90.000000,top
"D16","1N4148","SMD_SOD_123-stencil",-19.300001,-127.569605,-90.000000,top
"D17","1N4148","SMD_SOD_123-stencil",-1.520001,-133.579605,-90.000000,top
"D18","1N4148","SMD_SOD_123-stencil",16.461186,-135.904940,-90.000000,top
"D19","1N4148","SMD_SOD_123_only_one_face",-106.120000,-188.840000,150.000000,top
"D20","1N4148","SMD_SOD_123_only_one_face",-106.720000,-209.140000,180.000000,top
"D21","1N4148","SMD_SOD_123_only_one_face",100.380000,-239.040000,180.000000,top
"D22","1N4148","SMD_SOD_123-stencil",21.920596,-161.140000,-105.000000,top
"D22b1","1N4148","SMD_SOD_123-stencil",105.610000,-182.900000,80.200000,top
"D23","1N4148","SMD_SOD_123-stencil",40.180000,-168.465000,-113.990000,top
"D23b1","1N4148","SMD_SOD_123-stencil",146.033325,-187.411669,-113.990000,top
"D24","1N4148","SMD_SOD_123-stencil",50.032517,-173.056893,-39.100000,top
"D24b2","1N4148","SMD_SOD_123-stencil",153.605000,-190.240000,-119.100000,top
"D31","1N4148","SMD_SOD_123-stencil",61.704999,-181.289605,-125.000000,top
"D31b1","1N4148","SMD_SOD_123-stencil",158.555000,-193.015000,60.900000,top
"D32","1N4148","SMD_SOD_123-stencil",-10.915000,-214.270000,180.000000,top
"D33","1N4148","SMD_SOD_123_only_one_face",-65.520100,-245.814700,0.000000,top
"D34","1N4148","SMD_SOD_123-stencil",-34.920100,-249.289700,-90.000000,top
"D36","SS14 (or M1) package SMA","D_SMA_Handsoldering-Chuk",-69.525000,-10.445000,180.000000,top
"ENC1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",-29.540000,-176.730000,0.000000,top
"FF1","Conn_01x04","FPC_4pins_Horizontal-PULL-IN_stencil",-66.310100,-234.959700,180.000000,top
"FF2","Conn_01x04","FPC_4pins_Horizontal-PULL-IN_stencil",-39.570100,-236.979700,180.000000,top
"Flick1","SW_Chuk","Kailh_socket_PG1350_reversible_Chukozor_LED_F-MOBILE",11.680000,-32.140000,0.000000,top
"Flick2","SW_Chuk","Kailh_socket_PG1350_reversible_Chukozor_LED_F-MOBILE",-25.420000,-39.930000,180.000000,top
"Flick3","SW_Chuk","Kailh_socket_PG1350_reversible_Chukozor_LED_F-MOBILE",-63.480000,-51.510000,0.000000,top
"Flick4","Flick","Microswitche-2pins",-98.020000,-56.440000,90.000000,top
"HandSoldering2Pins-IN1","Conn_01x02","HandSoldering-2pins-OUT",-102.315400,-194.440000,0.000000,top
"HandSoldering2Pins-IN2","Conn_01x02","HandSoldering-2pins-OUT",-104.320000,-217.965000,0.000000,top
"HandSoldering2Pins-OUT1","Conn_01x02","HandSoldering-2pins-reversible-OUT",-81.795001,-102.889605,0.000000,top
"HandSoldering2Pins-OUT2","Conn_01x02","HandSoldering-2pins-reversible-OUT",-63.795001,-99.889605,0.000000,top
"HandSoldering2Pins-OUT3","Conn_01x02","HandSoldering-2pins-reversible-OUT",-45.795001,-87.889605,0.000000,top
"HandSoldering2Pins-OUT4","Conn_01x02","HandSoldering-2pins-reversible-OUT",-27.795001,-81.889605,0.000000,top
"HandSoldering2Pins-OUT5","Conn_01x02","HandSoldering-2pins-reversible-OUT",-9.795001,-88.509605,0.000000,top
"HandSoldering2Pins-OUT6","Conn_01x02","HandSoldering-2pins-reversible-OUT",8.204999,-90.889605,0.000000,top
"Handedness1","4.7k","R_0805_Handedness_Chukozor_assembly",29.809999,-99.039605,90.000000,top
"Insert-M2-outer3.2-1","Insert-M2(outer-3.2)","Insert-M2-(outer3.2)",-33.720000,-161.470000,0.000000,top
"Insert-M2-outer3.2-2","Insert-M2(outer-3.2)","Insert-M2-(outer3.2)",-41.700000,-166.110000,0.000000,top
"Insert-M2-outer3.2-3","Insert-M2(outer-3.2)","Insert-M2-(outer3.2)",-52.660000,-164.880000,0.000000,top
"Insert-M2-outer3.2-4","Insert-M2(outer-3.2)","Insert-M2-(outer3.2)",-19.450000,-163.800000,0.000000,top
"Insert-M2-outer3.2-5","Insert-M2(outer-3.2)","Insert-M2-(outer3.2)",78.480000,-151.740000,0.000000,top
"J1","Conn_01x03","solenoid_ribon_connector",0.685000,-84.170000,0.000000,top
"J2","Conn_01x04","oled_display_Chukozor_ribbon",10.790000,-84.171000,0.000000,top
"J3","Conn_01x03","solenoid_ribon_connector",-58.625000,-10.440000,0.000000,top
"J4","Conn_01x05","Thumbkeys-5pins-Mobile",138.987174,-174.987953,-19.600000,top
"J5","Conn_01x05","Thumbkeys-5pins",33.800000,-151.740000,0.000000,top
"JP1","Full Duplex","SolderJumper-2_Open_Chuck",45.299998,-80.721305,0.000000,top
"JP2","5V-VIK","SB-small",38.709999,-115.859605,90.000000,top
"JP5","VI2C-OLED","SB-3pins-small",29.619999,-81.589605,90.000000,top
"K2","FPC_8p_SPECIAL-thumbs-or-joystick","Kailh_socket_PG1350_reversible_Chukozor_THUMBS-SOLO",62.665786,-237.258331,0.000000,top
"KHigh-1","FPC_8pins_SPECIALswitches-IN-HIGH-687108183722","FPC_8pins_687108183722_reversible-Mobile-IN-TOPP-FROMABOVE-STENCIL",-25.200000,-24.930000,0.000000,top
"KLow-1","FPC_8pins_687108183722","FPC_8pins_687108183722_reversible-Mobile-IN-LOW-FROMBELOW_STENCIL",11.680000,-47.140000,0.000000,top
"KLow-2","FPC_8pins_687108183722","FPC_8pins_687108183722_reversible-Mobile-IN-TOPP-FROMBELOW",-63.480000,-39.010000,0.000000,top
"KLow-3","FPC_8pins_687108183722","FPC_8pins_687108183722_reversible-Mobile-IN-LOW-FROMBELOW_STENCIL",-98.020000,-69.440000,0.000000,top
"M1.6-1","MountingHoleM1.6","Mounting-hole-M1.6",-73.090100,-239.319700,0.000000,top
"M1.6-2","MountingHoleM1.6","Mounting-hole-M1.6",-61.560100,-260.709700,0.000000,top
"M1.6-3","MountingHoleM1.6","Mounting-hole-M1.6",5.380000,-52.040000,0.000000,top
"M1.6-4","MountingHoleM1.6","Mounting-hole-M1.6",16.080000,-20.840000,0.000000,top
"M1.6-5","MountingHoleM1.6","Mounting-hole-M1.6",-29.820000,-50.140000,0.000000,top
"M1.6-6","MountingHoleM1.6","Mounting-hole-M1.6",-19.520000,-18.440000,0.000000,top
"M1.6-7","MountingHoleM1.6","Mounting-hole-M1.6",-69.820000,-62.240000,0.000000,top
"M1.6-8","MountingHoleM1.6","Mounting-hole-M1.6",-60.120000,-32.340000,0.000000,top
"M1.6-9","MountingHoleM1.6","Mounting-hole-M1.6",-14.720000,-230.140000,0.000000,top
"M1.6-10","MountingHoleM1.6","Mounting-hole-M1.6",-3.669742,-214.413660,0.000000,top
"M1.6-11","MountingHoleM1.6","Mounting-hole-M1.6",-44.580100,-259.449700,0.000000,top
"M1.6-12","MountingHoleM1.6","Mounting-hole-M1.6",-34.170100,-241.699700,0.000000,top
"M1.6-13","MountingHoleM1.6","Mounting-hole-M1.6",-92.920000,-48.140000,0.000000,top
"M1.6-14","MountingHoleM1.6","Mounting-hole-M1.6",-103.920000,-62.740000,0.000000,top
"M1.6-15","MountingHoleM1.6","Mounting-hole-M1.6",-110.370000,-194.220000,0.000000,top
"M1.6-16","MountingHoleM1.6","Mounting-hole-M1.6",-102.440000,-171.530000,0.000000,top
"M1.6-17","MountingHoleM1.6","Mounting-hole-M1.6",-109.420000,-217.940000,0.000000,top
"M1.6-18","MountingHoleM1.6","Mounting-hole-M1.6",-109.420000,-204.540000,0.000000,top
"M1.6-19","MountingHoleM1.6","Mounting-hole-M1.6",-103.720000,-204.540000,0.000000,top
"M1.6-20","MountingHoleM1.6","Mounting-hole-M1.6",69.865786,-223.825786,0.000000,top
